,y,x,vel_change_bee_focal,count
107,6,11,0.09851447635340053,1340818.0
108,6,12,0.09468305777367551,1718761.0
109,6,13,0.08854536503811518,2206759.0
110,6,14,0.06748527574310238,2876250.0
111,6,15,0.010831947578810472,4248854.0
112,7,0,0.13301899096506334,3864627.0
113,7,1,0.12209301505378564,2504215.0
114,7,2,0.11955183877397782,2006680.0
115,7,3,0.12059862710428475,1767413.0
116,7,4,0.12428450427295756,1552585.0
117,7,5,0.1258148779460315,1415285.0
118,7,6,0.126124958712177,1335571.0
119,7,7,0.12485642631628711,1301933.0
120,7,8,0.12181850357466822,1327181.0
121,7,9,0.11802153329725068,1421065.0
122,7,10,0.11483378505347386,1590862.0
123,7,11,0.10898923464139106,1847469.0
124,7,12,0.10166770754489224,2209695.0
125,7,13,0.08903475884615195,2687340.0
126,7,14,0.05623660500490799,3427284.0
127,7,15,-0.0021124358082602723,5015266.0
128,8,0,0.13462675095915805,4722220.0
129,8,1,0.128530857162311,3391399.0
130,8,2,0.12531049528860955,2642788.0
131,8,3,0.12531100134502915,2396080.0
132,8,4,0.1266882637128048,2223600.0
133,8,5,0.1293846185732972,2073592.0
134,8,6,0.13109886692848255,1994607.0
135,8,7,0.13001831367868896,1970140.0
136,8,8,0.12657112674230322,2003806.0
137,8,9,0.12371019860375287,2092942.0
138,8,10,0.11829922056011591,2250051.0
139,8,11,0.1118868368303863,2486391.0
140,8,12,0.10141196049926463,2826350.0
141,8,13,0.0790497025347703,3331161.0
142,8,14,0.030337524913605626,4373153.0
143,8,15,-0.00938052611807384,5791429.0
